PLAYER_ID,PLAYER_NAME,OPPONENT_ABBREV,PTS,REB,AST,STL,BLK,FG3M,TOV,PRA,PR,PA,RA,FANTASY_PTS,MIN,GAMES_PLAYED
201935,James Harden,CHA,55.0,3.0,7.0,1.0,0.0,10.0,2.0,65.0,58.0,62.0,10.0,70.1,35.0,1
201935,James Harden,CLE,19.0,2.0,6.0,1.0,0.0,0.0,3.0,27.0,21.0,25.0,8.0,30.4,32.0,1
201935,James Harden,DAL,41.0,14.0,11.0,1.0,2.0,6.0,3.0,66.0,55.0,52.0,25.0,80.3,51.0,1
201935,James Harden,DEN,23.0,8.0,5.0,0.0,0.0,1.0,2.0,36.0,31.0,28.0,13.0,38.1,30.0,1
201935,James Harden,GSW,20.0,4.0,1.0,2.0,0.0,1.0,3.0,25.0,24.0,21.0,5.0,29.3,32.0,1
201935,James Harden,LAL,29.0,5.0,9.0,2.0,0.0,3.0,5.0,43.0,34.0,38.0,14.0,49.5,37.0,1
201935,James Harden,MIA,29.0,7.0,8.0,1.0,0.0,6.0,7.0,44.0,36.0,37.0,15.0,45.4,39.0,1
201935,James Harden,NOP,24.0,5.0,14.0,2.0,0.0,4.0,4.0,43.0,29.0,38.0,19.0,53.0,39.0,1
201935,James Harden,OKC,25.0,6.0,6.0,1.0,0.0,5.0,2.0,37.0,31.0,31.0,12.0,42.2,30.0,1
201935,James Harden,ORL,31.0,5.0,8.0,2.0,0.0,5.0,5.0,44.0,36.0,39.0,13.0,50.0,31.0,1
201935,James Harden,PHI,28.0,6.0,5.0,1.0,2.0,2.0,4.0,39.0,34.0,33.0,11.0,47.7,37.0,1
201935,James Harden,PHX,21.5,3.5,10.0,0.0,0.5,3.5,3.5,35.0,25.0,31.5,13.5,38.7,34.5,2
201935,James Harden,POR,20.0,6.0,13.0,3.0,0.0,2.0,7.0,39.0,26.0,33.0,19.0,48.7,38.0,1
201935,James Harden,UTA,15.0,2.0,11.0,0.0,0.0,2.0,2.0,28.0,17.0,26.0,13.0,31.9,29.0,1
201939,Stephen Curry,DEN,42.0,6.0,7.0,3.0,1.0,6.0,2.0,55.0,48.0,49.0,13.0,69.7,37.0,1
201939,Stephen Curry,IND,24.0,0.0,2.0,1.0,0.0,4.0,5.0,26.0,24.0,26.0,2.0,25.0,29.0,1
201939,Stephen Curry,LAC,19.0,2.0,8.0,2.0,0.0,2.0,2.0,29.0,21.0,27.0,10.0,37.4,26.0,1
201939,Stephen Curry,LAL,23.0,1.0,4.0,3.0,1.0,3.0,2.0,28.0,24.0,27.0,5.0,40.2,32.0,1
201939,Stephen Curry,MEM,16.0,4.0,3.0,0.0,0.0,4.0,1.0,23.0,20.0,19.0,7.0,24.3,30.0,1
201939,Stephen Curry,MIL,27.0,6.0,4.0,1.0,0.0,4.0,5.0,37.0,33.0,31.0,10.0,38.2,35.0,1
201939,Stephen Curry,NOP,9.0,5.0,3.0,0.0,0.0,1.0,4.0,17.0,14.0,12.0,8.0,15.5,28.0,1
201939,Stephen Curry,OKC,11.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,12.0,11.0,1.0,14.2,20.0,1
201939,Stephen Curry,ORL,34.0,3.0,9.0,3.0,0.0,7.0,5.0,46.0,37.0,43.0,12.0,55.1,34.0,1
201939,Stephen Curry,PHX,28.0,4.0,3.0,1.0,1.0,5.0,2.0,35.0,32.0,31.0,7.0,41.3,34.0,1
201939,Stephen Curry,POR,36.5,4.0,3.5,0.5,1.0,8.0,3.5,44.0,40.5,40.0,7.5,47.55,30.5,2
201939,Stephen Curry,SAS,47.5,4.5,3.5,2.0,0.0,7.0,2.0,55.5,52.0,51.0,8.0,62.15,35.0,2
201939,Stephen Curry,UTA,31.0,4.0,2.0,1.0,2.0,6.0,3.0,37.0,35.0,33.0,6.0,44.8,29.0,1
201942,DeMar DeRozan,ATL,4.0,2.0,2.0,1.0,0.0,0.0,2.0,8.0,6.0,6.0,4.0,10.4,19.0,1
201942,DeMar DeRozan,CHI,19.0,6.0,5.0,0.0,0.0,0.0,2.0,30.0,25.0,24.0,11.0,31.7,35.0,1
201942,DeMar DeRozan,DEN,18.0,3.67,2.33,0.67,0.67,0.67,1.0,24.0,21.67,20.33,6.0,28.9,32.67,3
201942,DeMar DeRozan,GSW,25.0,2.0,2.0,1.0,0.0,0.0,1.0,29.0,27.0,27.0,4.0,32.4,36.0,1
201942,DeMar DeRozan,LAL,21.0,6.0,3.0,1.0,0.0,2.0,1.0,30.0,27.0,24.0,9.0,34.7,40.0,1
201942,DeMar DeRozan,MEM,7.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,7.0,9.0,2.0,13.0,15.0,1
201942,DeMar DeRozan,MIL,29.0,4.0,3.0,0.0,0.0,0.0,2.0,36.0,33.0,32.0,7.0,36.3,41.0,1
201942,DeMar DeRozan,MIN,20.33,2.0,3.67,2.0,0.0,1.0,1.33,26.0,22.33,24.0,5.67,32.9,31.67,3
201942,DeMar DeRozan,OKC,18.0,2.67,3.67,1.67,0.0,1.33,0.67,24.33,20.67,21.67,6.33,31.03,32.33,3
201942,DeMar DeRozan,PHX,29.0,6.0,9.0,2.0,1.0,1.0,1.0,44.0,35.0,38.0,15.0,57.7,37.0,1
201942,DeMar DeRozan,SAS,27.0,2.0,4.0,2.0,0.0,1.0,1.0,33.0,29.0,31.0,6.0,40.4,39.0,1
201942,DeMar DeRozan,UTA,7.0,3.0,6.0,2.0,0.0,0.0,1.0,16.0,10.0,13.0,9.0,24.6,37.0,1
201950,Jrue Holiday,DEN,11.0,3.0,13.0,2.0,0.0,2.0,2.0,27.0,14.0,24.0,16.0,38.1,32.0,1
201950,Jrue Holiday,GSW,12.0,5.0,11.0,1.0,0.0,2.0,4.0,28.0,17.0,23.0,16.0,33.5,28.0,1
201950,Jrue Holiday,HOU,13.0,4.0,6.0,2.0,0.0,3.0,2.0,23.0,17.0,19.0,10.0,30.8,29.0,1
201950,Jrue Holiday,LAC,21.0,6.0,7.0,0.0,0.0,3.0,2.0,34.0,27.0,28.0,13.0,36.7,34.0,1
201950,Jrue Holiday,LAL,16.0,4.0,6.0,1.0,1.0,2.0,2.0,26.0,20.0,22.0,10.0,33.8,33.0,2
201950,Jrue Holiday,MIA,18.0,9.0,13.0,4.0,0.0,3.0,3.0,40.0,27.0,31.0,22.0,57.3,35.0,1
201950,Jrue Holiday,MIN,14.0,6.0,7.0,3.0,0.0,1.0,4.0,27.0,20.0,21.0,13.0,36.7,33.0,1
201950,Jrue Holiday,NOP,17.0,4.0,12.0,0.0,0.0,3.0,3.0,33.0,21.0,29.0,16.0,36.8,37.0,1
201950,Jrue Holiday,OKC,22.0,6.0,3.0,1.0,0.0,6.0,4.0,31.0,28.0,25.0,9.0,32.7,35.0,1
201950,Jrue Holiday,ORL,13.0,7.0,7.0,2.0,1.0,1.0,3.0,27.0,20.0,20.0,14.0,37.9,36.0,1
201950,Jrue Holiday,UTA,27.0,5.0,8.0,2.0,0.0,3.0,4.0,40.0,32.0,35.0,13.0,47.0,35.0,1
202066,Garrett Temple,CLE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1
202066,Garrett Temple,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1
202066,Garrett Temple,WAS,4.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,5.0,5.0,2.0,5.7,4.0,1
202331,Paul George,LAC,9.0,7.0,3.0,0.0,2.0,1.0,1.0,19.0,16.0,12.0,10.0,26.9,21.0,1
202331,Paul George,MIA,10.0,2.0,5.0,1.0,1.0,0.0,2.0,17.0,12.0,15.0,7.0,23.9,20.0,1
202331,Paul George,MIL,21.0,5.0,3.0,2.0,0.0,4.0,3.0,29.0,26.0,24.0,8.0,34.5,25.0,1
202685,Jonas Valančiūnas,CHI,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,2.4,5.0,1
202685,Jonas Valančiūnas,GSW,12.0,4.5,1.5,0.0,0.5,1.0,0.0,18.0,16.5,13.5,6.0,21.15,14.0,2
202685,Jonas Valančiūnas,HOU,8.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,8.0,1.0,11.2,16.0,1
