Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
268.0,Dalton Knecht,24.0,LAL,SF,15.0,1.0,16.7,2.6,5.6,0.464,1.0,3.1,0.326,1.6,2.5,0.632,0.554,0.4,0.6,0.667,0.5,1.5,2.1,0.5,0.5,0.4,0.5,1.3,6.6
269.0,Bub Carrington,20.0,WAS,PG,17.0,5.0,25.2,2.3,6.4,0.361,1.4,2.9,0.46,0.9,3.4,0.276,0.468,0.6,0.8,0.714,0.3,3.1,3.4,4.2,0.5,0.1,2.3,2.7,6.5
270.0,Paul Reed,26.0,DET,C,14.0,2.0,12.0,2.8,4.1,0.684,0.3,0.6,0.5,2.5,3.5,0.714,0.719,0.6,1.0,0.643,1.8,2.4,4.1,1.1,1.0,0.8,1.0,1.7,6.5
271.0,Goga Bitadze,26.0,ORL,C,18.0,0.0,16.9,2.4,3.4,0.71,0.1,0.4,0.286,2.3,3.1,0.764,0.726,1.4,1.8,0.758,1.7,3.6,5.3,1.5,0.7,1.2,0.6,2.1,6.4
272.0,Drew Eubanks,28.0,SAC,C,18.0,7.0,16.0,2.7,4.2,0.632,0.1,0.1,0.5,2.6,4.1,0.635,0.638,0.9,1.8,0.515,0.7,2.2,2.9,0.3,0.6,0.8,1.0,1.6,6.3
273.0,Brook Lopez,37.0,LAC,C,17.0,0.0,14.4,2.2,5.5,0.404,1.4,3.8,0.359,0.9,1.8,0.5,0.527,0.5,0.6,0.727,0.2,1.7,1.9,0.5,0.3,0.8,0.8,1.7,6.3
274.0,Mac McClung,27.0,IND,SG,3.0,0.0,11.3,2.3,6.0,0.389,0.7,3.3,0.2,1.7,2.7,0.625,0.444,1.0,1.3,0.75,0.0,1.3,1.3,0.3,1.7,0.3,0.7,2.0,6.3
275.0,Quinten Post,25.0,GSW,PF,19.0,8.0,15.6,2.3,5.2,0.444,1.2,3.6,0.333,1.1,1.6,0.7,0.561,0.5,0.6,0.818,0.8,3.1,3.9,1.2,0.6,0.5,0.8,1.3,6.3
276.0,Jamal Shead,23.0,TOR,PG,18.0,0.0,18.8,1.9,4.4,0.438,1.1,2.5,0.422,0.9,1.9,0.457,0.556,1.4,1.8,0.781,0.3,1.3,1.6,5.7,0.8,0.1,1.2,1.9,6.3
277.0,Dru Smith,28.0,MIA,SG,18.0,0.0,17.0,2.3,5.1,0.446,0.8,2.2,0.375,1.4,2.9,0.5,0.527,0.9,1.2,0.762,1.0,1.6,2.6,3.0,1.5,0.2,1.1,1.5,6.3
278.0,Keon Ellis,26.0,SAC,SG,17.0,2.0,17.4,2.2,4.9,0.44,1.5,3.5,0.424,0.7,1.5,0.48,0.589,0.4,0.6,0.7,0.3,1.2,1.5,0.6,1.2,0.3,0.5,2.0,6.2
279.0,Yves Missi,21.0,NOP,C,13.0,5.0,19.5,2.6,4.5,0.576,0.0,0.0,,2.6,4.5,0.576,0.576,0.9,1.7,0.545,3.3,2.1,5.4,1.2,0.2,1.2,1.0,1.8,6.2
280.0,Ben Sheppard,24.0,IND,SG,17.0,8.0,25.6,2.3,7.3,0.315,0.8,4.2,0.197,1.5,3.1,0.472,0.371,0.8,1.0,0.824,1.0,3.3,4.3,1.9,0.6,0.2,0.5,2.2,6.2
281.0,Lonzo Ball,28.0,CLE,PG,15.0,3.0,24.0,2.0,6.5,0.306,1.5,5.4,0.284,0.5,1.1,0.412,0.423,0.5,0.8,0.667,0.9,3.4,4.3,5.2,1.1,0.3,2.0,2.0,6.1
282.0,Taurean Prince,31.0,MIL,SF,8.0,0.0,21.1,2.1,4.8,0.447,1.5,3.5,0.429,0.6,1.3,0.5,0.605,0.4,0.4,1.0,0.0,1.6,1.6,1.0,0.8,0.3,0.6,2.5,6.1
283.0,Steven Adams,32.0,HOU,C,14.0,4.0,21.9,2.2,4.4,0.508,0.0,0.0,,2.2,4.4,0.508,0.508,1.6,2.1,0.733,5.0,4.2,9.2,1.5,0.6,0.6,1.1,2.1,6.0
284.0,Mike Conley,38.0,MIN,PG,17.0,5.0,20.5,1.7,4.3,0.397,1.3,3.0,0.431,0.4,1.3,0.318,0.548,1.3,1.4,0.917,0.4,1.6,1.9,3.6,0.7,0.2,0.9,1.9,6.0
