Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
354.0,Javon Small,23.0,MEM,PG,8.0,0.0,99.0,8.6,0.525,0.679,0.357,1.0,7.6,4.3,30.9,0.0,1.0,19.8,16.9,0.0,0.0,0.0,0.021,-2.0,-2.5,-4.5,-0.1
355.0,Blake Wesley,22.0,POR,SG,6.0,0.0,98.0,12.6,0.469,0.294,0.294,2.1,14.1,7.7,26.8,4.8,0.9,15.4,18.3,0.0,0.1,0.1,0.059,-4.3,3.5,-0.7,0.0
356.0,Ben Saraf,19.0,BRK,SG,7.0,5.0,97.0,3.0,0.377,0.481,0.296,3.3,12.7,7.7,24.7,1.0,0.0,22.8,17.5,-0.2,0.0,-0.2,-0.111,-6.8,-2.7,-9.5,-0.2
357.0,Asa Newell,20.0,ATL,PF,12.0,0.0,96.0,15.5,0.619,0.529,0.265,10.5,11.4,11.0,4.3,2.5,2.9,9.5,18.6,0.1,0.1,0.3,0.132,-1.0,-0.6,-1.7,0.0
358.0,LeBron James,41.0,LAL,SF,3.0,3.0,96.0,20.4,0.585,0.3,0.3,2.6,15.4,9.3,41.0,1.5,1.0,11.7,22.9,0.2,0.1,0.3,0.17,3.3,0.8,4.2,0.2
359.0,Noah Penda,21.0,ORL,SF,10.0,0.0,94.0,20.2,0.646,0.259,0.333,19.3,17.8,18.6,17.9,0.5,2.8,11.4,15.6,0.3,0.1,0.4,0.226,3.4,-0.6,2.9,0.1
360.0,Kyle Anderson,32.0,UTA,SF,5.0,0.0,93.0,15.8,0.576,0.0,0.31,5.7,13.2,9.4,32.1,2.0,1.1,13.2,16.6,0.2,0.0,0.2,0.113,-0.3,0.8,0.5,0.1
361.0,Taelon Peter,23.0,IND,SG,11.0,0.0,91.0,5.4,0.395,0.917,0.125,4.3,13.5,8.6,21.3,1.0,2.0,24.0,14.9,-0.2,0.0,-0.1,-0.066,-4.3,-0.8,-5.1,-0.1
362.0,Chris Boucher,33.0,BOS,PF,8.0,0.0,91.0,7.7,0.379,0.545,0.182,2.4,19.3,10.7,4.1,2.7,7.6,4.0,11.7,-0.1,0.2,0.1,0.051,-6.3,2.8,-3.5,0.0
363.0,Keshad Johnson,24.0,MIA,SF,8.0,0.0,91.0,9.2,0.443,0.455,0.212,9.3,15.7,12.7,1.4,1.5,4.0,7.7,17.3,-0.1,0.2,0.1,0.039,-4.5,-0.4,-4.9,-0.1
364.0,Dalen Terry,23.0,CHI,SG,10.0,0.0,90.0,10.2,0.498,0.35,0.35,3.6,11.0,7.5,21.1,2.1,2.7,14.8,12.4,0.0,0.1,0.1,0.058,-3.6,1.3,-2.3,0.0
365.0,Nick Smith Jr.,21.0,LAL,SG,6.0,0.0,90.0,9.7,0.548,0.486,0.081,0.0,7.6,4.0,20.6,1.6,1.1,20.7,23.0,-0.1,0.1,0.0,-0.019,-2.6,-2.5,-5.1,-0.1
366.0,Rayan Rupert,21.0,POR,SG,11.0,0.0,87.0,6.2,0.461,0.524,0.19,2.4,26.5,13.7,5.9,2.7,0.0,18.0,12.6,-0.1,0.1,0.0,0.002,-6.4,0.4,-6.0,-0.1
367.0,Kelly Olynyk,34.0,SAS,C,7.0,0.0,83.0,15.2,0.618,0.429,0.619,11.5,18.3,15.0,27.1,1.7,0.0,25.2,18.4,0.1,0.1,0.2,0.143,-0.5,1.6,1.0,0.1
