Team,Team_Full,Player,Position,Updated,Injury,Injury Status,Status_Clean
PHX,Phoenix,Rasheer Fleming,PF,"Thu, Nov 20",Ankle,Expected to be out until at least Nov 23,OUT
PHX,Phoenix,Grayson Allen,SG,"Thu, Nov 20",Quadriceps,Expected to be out until at least Nov 23,OUT
PHX,Phoenix,Jalen Green,SG,"Tue, Nov 11",Hamstring,Expected to be out until at least Dec 18,OUT
POR,Portland,Shaedon Sharpe,SG,"Fri, Nov 21",Calf,Expected to be out until at least Nov 23,OUT
POR,Portland,Jrue Holiday,PG,"Fri, Nov 21",Calf,Expected to be out until at least Nov 23,OUT
POR,Portland,Robert Williams III,C,"Thu, Nov 20",Knee,Game Time Decision,GTD
POR,Portland,Jerami Grant,PF,"Thu, Nov 20",Illness,Game Time Decision,GTD
POR,Portland,Scoot Henderson,PG,"Wed, Nov 19",Hamstring,Expected to be out until at least Dec 5,OUT
POR,Portland,Matisse Thybulle,SF,"Wed, Nov 19",Thumb,Expected to be out until at least Dec 2,OUT
POR,Portland,Blake Wesley,SG,"Wed, Nov 5",Foot,Expected to be out until at least Jan 30,OUT
POR,Portland,Damian Lillard,PG,"Tue, Oct 28",Achilles,Out for the season,OUT
SAC,Sacramento,Domantas Sabonis,C,"Thu, Nov 20",Knee,Expected to be out until at least Dec 18,OUT
SAS,San Antonio,Dylan Harper,PG,"Fri, Nov 21",Calf,Game Time Decision,GTD
SAS,San Antonio,Jordan McLaughlin,PG,"Fri, Nov 21",Hamstring,Game Time Decision,GTD
SAS,San Antonio,Stephon Castle,PG,"Tue, Nov 18",Hip,Expected to be out until at least Nov 30,OUT
SAS,San Antonio,Victor Wembanyama,C,"Mon, Nov 17",Calf,Expected to be out until at least Dec 2,OUT
TOR,Toronto,Collin Murray-Boyles,PF,"Thu, Nov 20",Knee,Expected to be out until at least Nov 23,OUT
UTA,Utah,Georges Niang,PF,"Tue, Nov 18",Foot,Expected to be out until at least Nov 24,OUT
UTA,Utah,Walker Kessler,C,"Wed, Nov 5",Shoulder,Out for the season,OUT
WAS,Washington,Marvin Bagley III,C,"Thu, Nov 20",Hip,Game Time Decision,GTD
WAS,Washington,Alex Sarr,C,"Thu, Nov 20",Toe,Game Time Decision,GTD
