Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
323.0,Brooks Barnhizer,23.0,OKC,SG,14.0,0.0,104.0,0.5,0.538,0.0,0.5,0.5,0.508,0.286,0.071,107.0,98.0,0.0,92.0,63.0,87.0,100.0,17.0,-1.2,-2.4
324.0,Isaiah Livers,27.0,PHO,PF,9.0,0.0,104.0,0.421,1.0,0.353,0.579,0.833,0.624,0.316,0.895,90.0,183.0,99.0,107.0,106.0,107.0,111.0,214.0,1.4,1.8
325.0,Kevon Looney,29.0,NOP,C,8.0,6.0,104.0,0.333,0.389,0.167,0.354,0.5,0.375,0.25,0.25,71.0,71.0,47.0,65.0,63.0,64.0,88.0,60.0,-9.1,-11.0
326.0,Justin Champagnie,24.0,WAS,SF,12.0,3.0,101.0,0.32,0.4,0.2,0.36,0.824,0.493,0.68,0.4,68.0,73.0,56.0,66.0,104.0,85.0,239.0,96.0,-9.1,-5.8
327.0,Quenton Jackson,27.0,IND,PG,5.0,3.0,101.0,0.541,0.56,0.5,0.622,0.722,0.657,0.486,0.324,116.0,102.0,140.0,115.0,92.0,113.0,171.0,77.0,5.8,6.7
328.0,Jett Howard,22.0,ORL,SF,11.0,0.0,99.0,0.406,0.375,0.417,0.563,,0.563,0.0,0.75,87.0,69.0,116.0,104.0,,97.0,0.0,179.0,1.3,-1.3
329.0,Javon Small,23.0,MEM,PG,8.0,0.0,99.0,0.357,0.444,0.316,0.464,0.8,0.525,0.357,0.679,76.0,81.0,88.0,86.0,101.0,90.0,125.0,162.0,-4.4,-3.7
330.0,Blake Wesley,22.0,POR,SG,6.0,0.0,98.0,0.412,0.5,0.2,0.441,0.6,0.469,0.294,0.294,88.0,91.0,56.0,81.0,76.0,81.0,103.0,70.0,-6.9,-8.7
331.0,Nigel Hayes-Davis,31.0,PHO,SF,12.0,0.0,97.0,0.375,0.533,0.111,0.396,,0.396,0.0,0.375,80.0,98.0,31.0,73.0,,68.0,0.0,90.0,-7.1,-8.9
332.0,Ben Saraf,19.0,BRK,SG,7.0,5.0,97.0,0.259,0.286,0.231,0.315,0.75,0.377,0.296,0.481,55.0,52.0,64.0,58.0,95.0,65.0,104.0,115.0,-12.3,-12.5
333.0,Dereck Lively II,21.0,DAL,C,6.0,4.0,97.0,0.588,0.588,,0.588,0.75,0.634,0.471,0.0,126.0,108.0,,108.0,95.0,109.0,165.0,0.0,1.5,2.1
