CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
203999,Nikola Jokić,1610612743,DEN,C,30.0,15,15,1.0,147,285,0.516,0.485,0.031
1630596,Evan Mobley,1610612739,CLE,C,24.0,16,16,1.0,127,278,0.457,0.493,-0.036
202696,Nikola Vučević,1610612741,CHI,C,35.0,15,15,1.0,135,277,0.487,0.497,-0.009
1642270,Donovan Clingan,1610612757,POR,C,21.0,16,16,1.0,114,264,0.432,0.503,-0.071
1642259,Alex Sarr,1610612764,WAS,C,20.0,13,13,1.0,129,260,0.496,0.496,0.0
203497,Rudy Gobert,1610612750,MIN,C,33.0,16,16,1.0,116,259,0.448,0.489,-0.041
1630578,Alperen Sengun,1610612745,HOU,C,23.0,14,14,1.0,117,253,0.462,0.488,-0.026
1642843,Cooper Flagg,1610612742,DAL,F,18.0,16,16,1.0,118,249,0.474,0.463,0.011
1629023,P.J. Washington,1610612742,DAL,F,27.0,16,16,1.0,102,245,0.416,0.476,-0.06
1630183,Jaden McDaniels,1610612750,MIN,F,25.0,15,15,1.0,114,244,0.467,0.474,-0.006
1642273,Kyshawn George,1610612764,WAS,F,21.0,14,14,1.0,119,236,0.504,0.469,0.036
1627783,Pascal Siakam,1610612754,IND,F,31.0,15,15,1.0,118,235,0.502,0.483,0.019
1641750,Ryan Kalkbrenner,1610612766,CHA,C,23.0,14,14,1.0,108,233,0.464,0.486,-0.023
1630567,Scottie Barnes,1610612761,TOR,F-G,24.0,16,16,1.0,117,231,0.506,0.468,0.039
1631170,Jaime Jaquez Jr.,1610612748,MIA,G,24.0,16,16,1.0,91,230,0.396,0.459,-0.063
1630168,Onyeka Okongwu,1610612737,ATL,F-C,24.0,16,16,1.0,111,229,0.485,0.499,-0.015
1627826,Ivica Zubac,1610612746,LAC,C,28.0,15,15,1.0,104,228,0.456,0.501,-0.045
1631157,Ryan Rollins,1610612749,MIL,G,23.0,16,16,1.0,101,227,0.445,0.463,-0.019
1630166,Deni Avdija,1610612757,POR,F,24.0,16,16,1.0,117,226,0.518,0.475,0.043
1641739,Toumani Camara,1610612757,POR,F,25.0,16,16,1.0,115,226,0.509,0.476,0.032
1642276,Kel'el Ware,1610612748,MIA,C,21.0,16,16,1.0,107,225,0.476,0.505,-0.03
1626167,Myles Turner,1610612749,MIL,C-F,29.0,16,16,1.0,117,223,0.525,0.483,0.042
