Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.
57.0,Isaiah Hartenstein,27.0,OKC,C,16.0,16.0,454.0,0.688,4.7,0.968,0.512,0.344,0.112,0.0,0.032,0.711,0.875,0.558,0.429,,0.0,0.779,,0.344,41.0,0.5,0.0,0.0,0.0
58.0,Gary Trent Jr.,27.0,MIL,SG,16.0,12.0,453.0,0.399,20.7,0.315,0.077,0.07,0.084,0.084,0.685,0.444,0.545,0.4,0.417,0.417,0.378,0.6,0.892,0.0,0.0,0.255,0.56,0.0,0.0
59.0,Harrison Barnes,33.0,SAS,PF,15.0,15.0,452.0,0.537,17.9,0.333,0.154,0.154,0.024,0.0,0.667,0.683,0.842,0.632,0.0,,0.463,0.571,0.947,0.033,4.0,0.439,0.472,0.0,0.0
60.0,Herbert Jones,27.0,NOP,SF,15.0,15.0,452.0,0.397,16.0,0.496,0.214,0.153,0.061,0.069,0.504,0.431,0.536,0.4,0.125,0.444,0.364,0.5,1.0,0.031,3.0,0.318,0.333,0.0,0.0
61.0,Ajay Mitchell,23.0,OKC,SG,16.0,5.0,451.0,0.443,11.8,0.714,0.21,0.352,0.095,0.057,0.286,0.5,0.682,0.527,0.25,0.083,0.3,0.387,0.667,0.01,2.0,0.283,0.353,0.0,0.0
62.0,Russell Westbrook,37.0,SAC,SF,16.0,10.0,449.0,0.433,15.2,0.533,0.167,0.244,0.078,0.044,0.467,0.469,0.667,0.432,0.357,0.125,0.393,0.311,0.788,0.006,1.0,0.333,0.464,0.0,0.0
63.0,Jamal Murray,28.0,DEN,PG,13.0,13.0,448.0,0.461,16.0,0.601,0.136,0.206,0.101,0.158,0.399,0.533,0.613,0.468,0.609,0.5,0.352,0.288,0.469,0.004,1.0,0.077,0.143,1.0,1.0
64.0,Royce O'Neale,32.0,PHO,SF,15.0,11.0,444.0,0.434,23.1,0.169,0.037,0.081,0.044,0.007,0.831,0.478,0.2,0.455,0.667,1.0,0.425,0.545,0.938,0.007,1.0,0.168,0.579,0.0,0.0
65.0,Nikola Vučević,35.0,CHI,C,14.0,14.0,443.0,0.495,14.2,0.624,0.183,0.285,0.108,0.048,0.376,0.534,0.618,0.528,0.5,0.333,0.429,0.855,0.967,0.011,2.0,0.071,0.2,0.0,0.0
66.0,Cade Cunningham,24.0,DET,PG,12.0,12.0,441.0,0.436,12.8,0.699,0.173,0.346,0.132,0.049,0.301,0.505,0.609,0.467,0.486,0.462,0.275,0.255,0.318,0.03,6.0,0.025,0.0,0.0,0.0
