Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
138,D'Angelo Russell,29,DAL,PG,16,3,355,95,5,0,0,0,-4.2,5.1,26,10,15,2,20,3,189,0,5
139,Javonte Green,32,DET,SG,15,3,349,19,74,7,0,0,7.6,1.5,10,1,13,0,18,3,43,3,5
140,Noah Clowney,21,BRK,PF,14,8,348,0,0,0,88,12,-8.8,6.8,7,5,13,4,18,1,58,1,8
141,Derik Queen,21,NOP,C,15,3,347,0,0,0,8,93,-5.8,14.6,16,12,24,7,27,4,94,5,8
142,Ja Morant,26,MEM,PG,12,12,345,100,0,0,0,0,-6.6,-2.7,33,10,13,0,31,4,219,4,12
143,Tre Johnson,19,WAS,SG,14,4,344,19,60,21,0,0,-12.5,6.3,9,9,17,1,7,1,45,3,1
144,Moussa Diabaté,24,CHO,C,15,1,343,0,0,0,6,94,-4.5,-1.7,3,0,16,3,29,3,45,7,8
145,Jusuf Nurkić,31,UTA,C,14,9,342,0,0,0,0,100,-8.8,-6.2,21,8,14,12,11,2,121,1,10
146,Bobby Portis,30,MIL,PF,16,1,341,0,0,0,69,31,-4.7,-6.2,10,3,17,5,4,0,44,0,7
147,Cameron Johnson,29,DEN,SF,13,13,339,0,0,77,23,0,11.6,0.1,5,2,19,1,8,4,66,2,8
148,Anthony Edwards,24,MIN,SG,11,11,339,2,56,41,0,0,10.3,4.6,12,7,7,2,29,0,93,8,8
149,Dean Wade,29,CLE,PF,15,2,338,0,0,19,71,11,3.3,-1.1,0,3,15,0,7,3,61,2,3
150,Marcus Smart,31,LAL,SG,12,9,338,22,75,3,0,0,8.0,9.7,16,6,16,3,11,10,87,2,2
151,Josh Hart,30,NYK,SF,13,0,336,0,17,76,7,0,1.4,-9.1,10,8,11,5,11,4,153,4,6
152,Aaron Nesmith,26,IND,SF,11,11,335,1,73,26,0,0,-5.1,12.5,2,3,14,2,16,11,41,4,10
153,Peyton Watson,23,DEN,SF,14,4,334,0,16,43,42,0,10.7,-1.8,7,4,15,4,12,1,47,4,7
154,Pelle Larsson,24,MIA,SG,15,12,333,0,37,63,0,0,-3.9,-13.6,15,2,16,0,18,11,103,4,7
155,Kris Murray,25,POR,SF,14,1,333,3,52,35,9,0,-7.3,-10.0,4,2,15,1,4,1,34,0,6
156,Tre Jones,26,CHI,PG,11,11,329,100,0,0,0,0,-7.5,-14.2,8,6,5,1,16,7,145,0,13
157,Andre Drummond,32,PHI,C,14,6,327,0,0,0,0,100,6.3,8.1,5,0,21,2,7,0,23,2,4
158,Mark Williams,24,PHO,C,13,10,326,0,0,0,0,100,12.2,11.4,2,3,20,6,21,2,29,3,9
159,Klay Thompson,35,DAL,SF,15,8,325,0,20,56,24,0,-9.9,-5.2,8,7,7,1,0,1,61,0,3
160,Christian Braun,24,DEN,SG,11,11,325,2,76,21,0,0,17.5,11.5,8,4,14,1,12,1,80,4,6
161,Derrick Jones Jr.,28,LAC,SF,13,13,324,0,10,82,8,0,-9.4,-5.0,5,1,14,4,17,5,34,7,6
162,Sam Hauser,28,BOS,PF,15,2,323,0,0,2,91,7,2.9,-4.3,4,4,7,2,2,3,53,1,1
163,Bruce Brown,29,DEN,SG,14,0,319,43,57,0,0,0,8.0,-6.7,6,4,19,0,8,0,49,1,10
164,Tim Hardaway Jr.,33,DEN,SG,14,1,319,15,46,38,2,0,13.9,4.6,0,1,8,1,6,1,49,2,3
