Player Name,Prop Category,Prop Line,GAME_DATE,Matchup,Team,Opponent,Best Pick,Tier,Score,Edge,Win_Prob,Median_Proj,TEAM_MISSING_USG
Myles Turner,REB,7.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,A Tier,1.63,-1.63,0.5794797,5.873848096572237,37.0
Luke Kornet,PRA,19.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,2.73,-2.73,0.5665858,16.772551047176677,55.9
Myles Turner,PTS,15.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,A Tier,2.45,-2.45,0.50501615,13.054900959668988,37.0
Jalen Suggs,PRA,22.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,A Tier,1.64,-1.64,0.49794096,20.859984346036317,27.8
Vince Williams Jr.,AST,5.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,A Tier,1.54,-1.54,0.48943955,3.9591534856106874,57.2
Kristaps Porziņģis,PRA,25.5,2025-11-20,ATL @ SAS,ATL,SAS,Over,A Tier,2.14,2.14,0.48687935,27.639726944618705,0.0
James Harden,FG3M,3.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,B Tier,0.92,-0.92,0.57929766,2.5818533076076697,15.5
Kelly Olynyk,AST,3.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,B Tier,0.82,-0.82,0.57195306,2.676366626126134,55.9
DeMar DeRozan,FG3M,0.5,2025-11-20,SAC @ MEM,SAC,MEM,Over,B Tier,0.45,0.45,0.5645105,0.9516981349853144,22.7
Anthony Black,REB,3.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,B Tier,0.77,-0.77,0.55709016,2.732561069780657,27.8
Jeremy Sochan,AST,2.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,B Tier,0.48,-0.48,0.54040885,2.023430364968234,55.9
Jalen Suggs,REB,3.5,2025-11-20,ORL vs LAC,ORL,LAC,Over,B Tier,0.51,0.51,0.53387284,4.010247167991112,27.8
Franz Wagner,FG3M,1.5,2025-11-20,ORL vs LAC,ORL,LAC,Over,B Tier,0.18,0.18,0.5295041,1.6792040959922212,27.8
Zach LaVine,FG3M,2.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,B Tier,0.51,-0.51,0.52269375,1.9863890975230716,22.7
Wendell Carter Jr.,AST,1.5,2025-11-20,ORL vs LAC,ORL,LAC,Over,B Tier,0.5,0.5,0.5096106,1.9998054483212129,27.8
VJ Edgecombe,AST,3.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,B Tier,0.38,0.38,0.50724643,3.8835186599219527,0.0
Dyson Daniels,REB,6.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,B Tier,1.48,-1.48,0.50568503,5.0150721686395325,0.0
Quentin Grimes,FG3M,2.5,2025-11-20,PHI @ MIL,PHI,MIL,Under,B Tier,0.24,-0.24,0.50088084,2.2628645309231583,26.5
Kristaps Porziņģis,FG3M,1.5,2025-11-20,ATL @ SAS,ATL,SAS,Over,B Tier,0.17,0.17,0.4994125,1.6666414446751974,0.0
Nickeil Alexander-Walker,REB,3.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,B Tier,0.34,-0.34,0.48078185,3.1645345958205517,0.0
Cedric Coward,AST,3.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,B Tier,0.58,-0.58,0.47956067,2.922846663021983,49.1
AJ Green,FG3M,2.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,B Tier,0.27,-0.27,0.4789856,2.2337852049039997,37.0
Gary Trent Jr.,FG3M,2.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,B Tier,0.82,-0.82,0.4657936,1.6797753777517137,37.0
Cedric Coward,RA,11.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,B Tier,1.45,-1.45,0.4598297,10.054832320063714,49.1
Vince Williams Jr.,FG3M,2.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,B Tier,1.03,-1.03,0.45398188,1.4687506860623811,57.2
Kris Dunn,PRA,13.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,C Tier,0.78,-0.78,0.9642139,12.72419217435487,15.5
Jalen Johnson,RA,15.5,2025-11-20,ATL @ SAS,ATL,SAS,Over,C Tier,0.58,0.58,0.95178497,16.07933159096786,0.0
Bogdan Bogdanović,REB,3.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,C Tier,0.14,-0.14,0.93665886,3.3644587330543905,15.5
Kristaps Porziņģis,PTS,16.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,C Tier,0.89,-0.89,0.93635315,15.609274308854284,0.0
Kelly Olynyk,RA,8.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,C Tier,0.02,-0.02,0.920838,8.484752433044605,55.9
Kris Dunn,PTS,7.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,C Tier,0.18,-0.18,0.89725083,7.319843957522583,15.5
Jaylen Wells,PRA,18.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,C Tier,1.48,-1.48,0.8903691,17.02441911203661,57.2
Dennis Schröder,PRA,21.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,C Tier,0.1,-0.1,0.8471772,21.40421529086863,22.7
Keldon Johnson,RA,9.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,C Tier,0.59,-0.59,0.83861035,8.909692655471002,55.9
Jalen Suggs,AST,4.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,C Tier,0.24,-0.24,0.83509016,4.260411873621928,27.8
Dennis Schröder,PTS,12.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,C Tier,0.49,-0.49,0.82961524,12.013480339061395,22.7
Kris Dunn,AST,2.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,C Tier,0.15,-0.15,0.80030465,2.3452449803137387,15.5
DeMar DeRozan,AST,3.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,C Tier,0.23,-0.23,0.7786159,3.2739353441726946,22.7
Tyrese Maxey,PRA,39.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,C Tier,0.22,0.22,0.7780787,39.718965325783145,26.5
James Harden,RA,13.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,C Tier,0.3,-0.3,0.77653396,13.201506842648174,15.5
Joel Embiid,PTS,17.5,2025-11-20,PHI @ MIL,PHI,MIL,Under,C Tier,0.18,-0.18,0.7706212,17.323892970733336,0.0
Ivica Zubac,RA,13.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,C Tier,0.93,-0.93,0.7535734,12.574867010223457,15.5
Desmond Bane,AST,4.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,C Tier,0.2,-0.2,0.74263906,4.303808112079586,27.8
Jaylen Wells,FG3M,1.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,C Tier,0.1,-0.1,0.7403713,1.404856662827107,57.2
Malik Monk,AST,2.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,C Tier,0.14,-0.14,0.7334677,2.357313126570898,22.7
VJ Edgecombe,PTS,14.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,C Tier,0.09,0.09,0.72801423,14.58898007350237,0.0
Julian Champagnie,PTS,10.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,C Tier,0.64,-0.64,0.72729677,9.864039511702734,55.9
Jaylen Wells,REB,3.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,C Tier,0.27,-0.27,0.7238692,3.226736495729082,57.2
Santi Aldama,RA,9.5,2025-11-20,MEM vs SAC,MEM,SAC,Over,C Tier,0.11,0.11,0.7131875,9.610363914485477,57.2
Keldon Johnson,REB,6.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,C Tier,0.45,-0.45,0.7055124,6.046622954137861,55.9
Zaccharie Risacher,PRA,16.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,C Tier,0.27,-0.27,0.70505965,16.230857073071228,0.0
Zach LaVine,PTS,18.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,C Tier,1.18,-1.18,0.7047975,17.320045988230024,22.7
Tristan da Silva,PRA,18.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,C Tier,0.4,-0.4,0.69774854,18.097879069649338,27.8
Kelly Olynyk,PTS,7.5,2025-11-20,SAS vs ATL,SAS,ATL,Over,C Tier,0.12,0.12,0.6718345,7.619910470494493,55.9
Dennis Schröder,REB,3.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,C Tier,0.0,-0.0,0.6629455,3.495313560976074,22.7
Quentin Grimes,PTS,15.5,2025-11-20,PHI @ MIL,PHI,MIL,Under,C Tier,0.39,-0.39,0.6598816,15.109633604580528,26.5
Vince Williams Jr.,RA,10.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,C Tier,0.82,-0.82,0.6571908,9.682606490162248,57.2
AJ Green,PTS,9.5,2025-11-20,MIL vs PHI,MIL,PHI,Over,C Tier,0.18,0.18,0.6523715,9.677352520229181,37.0
Jalen Suggs,PTS,13.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,C Tier,0.18,-0.18,0.65179455,13.32050898788522,27.8
Bogdan Bogdanović,PRA,17.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,C Tier,0.41,-0.41,0.6483815,17.0910144923821,15.5
Nickeil Alexander-Walker,AST,3.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,C Tier,0.03,-0.03,0.644099,3.4705405610145683,0.0
Kelly Olynyk,REB,4.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,C Tier,0.06,-0.06,0.6419439,4.43731047921674,55.9
