Player Name,Prop Category,Prop Line,GAME_DATE,Matchup,Team,Opponent,Best Pick,Tier,Score,Edge,Win_Prob,Median_Proj,TEAM_MISSING_USG,join_player,join_date,SEASON_ID,PLAYER_ID,Game_ID,GAME_DATE_box,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM_ABBREVIATION,Player_Clean,PRA,PR,PA,RA,STK,FANTASY_PTS,TS_PCT,USG_PROXY,TEAM_MISSING_USG_box,TEAM_MISSING_MIN,Actual Value,Result (O/U/P),Correctness
De'Aaron Fox,PTS,25.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,4.25,-4.25,0.66342616,21.245802941902536,55.9,deaaron fox,2025-11-20,22025.0,1628368.0,22500267.0,2025-11-20,SAS vs. ATL,W,31.0,9.0,16.0,0.563,2.0,4.0,0.5,6.0,10.0,0.6,2.0,3.0,5.0,9.0,3.0,0.0,2.0,4.0,26.0,-7.0,1.0,De'Aaron Fox,SAS,de'aaron fox,40.0,31.0,35.0,14.0,3.0,52.5,0.6372549019607844,0.7225806451612903,55.9,55.9,26.0,Over,Incorrect
Luke Kornet,REB,8.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,2.61,-2.61,0.6561712,5.888937416651331,55.9,luke kornet,2025-11-20,22025.0,1628436.0,22500267.0,2025-11-20,SAS vs. ATL,W,23.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,Luke Kornet,SAS,luke kornet,10.0,8.0,7.0,5.0,0.0,10.6,0.5122950819672131,0.2556521739130434,55.9,55.9,3.0,Under,Correct
Zach Edey,PRA,23.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,1.94,-1.94,0.65190876,21.563998422741633,57.2,zach edey,2025-11-20,22025.0,1641744.0,22500265.0,2025-11-20,MEM vs. SAC,W,25.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,16.0,23.0,1.0,Zach Edey,MEM,zach edey,20.0,20.0,16.0,4.0,2.0,26.8,1.075268817204301,0.2976,57.2,50.7,20.0,Under,Correct
De'Aaron Fox,AST,7.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,1.57,-1.57,0.6465088,5.927640148916872,55.9,deaaron fox,2025-11-20,22025.0,1628368.0,22500267.0,2025-11-20,SAS vs. ATL,W,31.0,9.0,16.0,0.563,2.0,4.0,0.5,6.0,10.0,0.6,2.0,3.0,5.0,9.0,3.0,0.0,2.0,4.0,26.0,-7.0,1.0,De'Aaron Fox,SAS,de'aaron fox,40.0,31.0,35.0,14.0,3.0,52.5,0.6372549019607844,0.7225806451612903,55.9,55.9,9.0,Over,Incorrect
Wendell Carter Jr.,REB,8.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,S Tier,1.75,-1.75,0.62984765,6.751149327053934,27.8,wendell carter,2025-11-20,22025.0,1628976.0,22500264.0,2025-11-20,ORL vs. LAC,W,32.0,3.0,11.0,0.273,1.0,3.0,0.333,0.0,0.0,0.0,1.0,6.0,7.0,6.0,1.0,0.0,0.0,4.0,7.0,13.0,1.0,Wendell Carter Jr.,ORL,wendell carter jr.,20.0,14.0,13.0,13.0,1.0,27.4,0.3181818181818182,0.34375,27.8,25.1,7.0,Under,Correct
Desmond Bane,PRA,30.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,S Tier,2.57,-2.57,0.6285442,27.925198972391296,27.8,desmond bane,2025-11-20,22025.0,1630217.0,22500264.0,2025-11-20,ORL vs. LAC,W,31.0,5.0,15.0,0.333,3.0,6.0,0.5,2.0,2.0,1.0,1.0,6.0,7.0,5.0,1.0,0.0,2.0,0.0,15.0,13.0,1.0,Desmond Bane,ORL,desmond bane,27.0,22.0,20.0,12.0,1.0,31.9,0.4722921914357682,0.5767741935483872,27.8,25.1,27.0,Under,Correct
Myles Turner,PRA,25.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,S Tier,3.63,-3.63,0.6203137,21.867555852968145,37.0,myles turner,2025-11-20,22025.0,1626167.0,22500266.0,2025-11-20,MIL vs. PHI,L,28.0,5.0,13.0,0.385,3.0,9.0,0.333,1.0,2.0,0.5,1.0,9.0,10.0,1.0,0.0,0.0,0.0,2.0,14.0,1.0,1.0,Myles Turner,MIL,myles turner,25.0,24.0,15.0,11.0,0.0,27.5,0.5043227665706052,0.4957142857142857,37.0,23.9,25.0,Under,Correct
Zach Edey,REB,9.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,2.21,-2.21,0.6008897,7.29477781549396,57.2,zach edey,2025-11-20,22025.0,1641744.0,22500265.0,2025-11-20,MEM vs. SAC,W,25.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,16.0,23.0,1.0,Zach Edey,MEM,zach edey,20.0,20.0,16.0,4.0,2.0,26.8,1.075268817204301,0.2976,57.2,50.7,4.0,Under,Correct
Zach Edey,RA,11.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,1.57,-1.57,0.59874666,9.930494338422264,57.2,zach edey,2025-11-20,22025.0,1641744.0,22500265.0,2025-11-20,MEM vs. SAC,W,25.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,16.0,23.0,1.0,Zach Edey,MEM,zach edey,20.0,20.0,16.0,4.0,2.0,26.8,1.075268817204301,0.2976,57.2,50.7,4.0,Under,Correct
Vince Williams Jr.,PTS,13.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,4.71,-4.71,0.59411705,8.793902191382006,57.2,vince williams,2025-11-20,22025.0,1631246.0,22500265.0,2025-11-20,MEM vs. SAC,W,24.0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0,2.0,0.0,3.0,1.0,4.0,22.0,1.0,Vince Williams Jr.,MEM,vince williams jr.,24.0,9.0,19.0,20.0,2.0,35.5,0.2857142857142857,0.4166666666666667,57.2,50.7,4.0,Under,Correct
Paul George,PRA,16.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,S Tier,3.64,3.64,0.5900799,20.142504337603917,26.5,paul george,2025-11-20,22025.0,202331.0,22500266.0,2025-11-20,PHI @ MIL,W,25.0,7.0,12.0,0.583,4.0,7.0,0.571,3.0,4.0,0.75,0.0,5.0,5.0,3.0,2.0,0.0,3.0,0.0,21.0,3.0,1.0,Paul George,PHI,paul george,29.0,26.0,24.0,8.0,2.0,34.5,0.7630813953488372,0.6703999999999999,26.5,42.2,29.0,Over,Correct
Keldon Johnson,FG3M,1.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,0.73,-0.73,0.97606385,0.7734043427723167,55.9,keldon johnson,2025-11-20,22025.0,1629640.0,22500267.0,2025-11-20,SAS vs. ATL,W,32.0,9.0,12.0,0.75,3.0,5.0,0.6,4.0,5.0,0.8,2.0,5.0,7.0,2.0,1.0,0.0,2.0,2.0,25.0,8.0,1.0,Keldon Johnson,SAS,keldon johnson,34.0,32.0,27.0,9.0,1.0,37.4,0.8802816901408451,0.50625,55.9,55.9,3.0,Over,Incorrect
Harrison Barnes,REB,3.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,A Tier,1.01,-1.01,0.9446304,2.491828437450888,55.9,harrison barnes,2025-11-20,22025.0,203084.0,22500267.0,2025-11-20,SAS vs. ATL,W,34.0,5.0,13.0,0.385,2.0,8.0,0.25,4.0,4.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0,16.0,3.0,1.0,Harrison Barnes,SAS,harrison barnes,23.0,21.0,18.0,7.0,0.0,24.0,0.5420054200542006,0.4635294117647058,55.9,55.9,5.0,Over,Incorrect
Ryan Rollins,AST,5.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,A Tier,0.84,-0.84,0.9435316,4.664571418880339,37.0,ryan rollins,2025-11-20,22025.0,1631157.0,22500266.0,2025-11-20,MIL vs. PHI,L,40.0,13.0,26.0,0.5,2.0,8.0,0.25,4.0,4.0,1.0,1.0,5.0,6.0,14.0,1.0,0.0,3.0,3.0,32.0,-15.0,1.0,Ryan Rollins,MIL,ryan rollins,52.0,38.0,46.0,20.0,1.0,60.2,0.5763688760806917,0.769,37.0,23.9,14.0,Over,Incorrect
