Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
148,Ryan Dunn,23,PHO,SF,16,11,385,0,2,39,58,0,9.0,8.2,9,3,17,2,8,3,72,1,5
149,Ryan Kalkbrenner,24,CHO,C,15,15,382,0,0,0,0,100,-5.1,-1.2,4,4,14,11,12,0,16,4,6
150,Dean Wade,29,CLE,PF,17,2,381,0,0,8,78,14,5.0,1.3,1,4,19,0,7,4,71,2,3
151,Mark Williams,24,PHO,C,15,12,381,0,0,0,0,100,8.9,7.9,3,3,23,6,27,2,34,6,9
152,Marcus Smart,31,LAL,SG,14,9,375,20,75,5,0,0,9.7,11.3,17,6,18,3,11,12,95,2,2
153,Javonte Green,32,DET,SG,17,3,373,14,63,22,1,0,8.2,2.7,12,1,14,0,18,4,43,3,5
154,Brandon Williams,26,DAL,PG,17,9,373,99,1,0,0,0,-3.9,4.0,23,10,18,2,29,8,163,3,17
155,Isaac Okoro,25,CHI,SG,15,15,373,0,44,52,4,0,-9.0,-10.9,5,6,23,4,9,4,56,2,11
156,Ausar Thompson,23,DET,SF,13,12,373,3,63,33,1,0,7.1,0.5,5,7,12,0,17,3,96,6,6
157,OG Anunoby,28,NYK,PF,12,12,373,0,0,19,80,2,14.9,18.1,14,5,15,2,9,5,65,3,12
158,Dillon Brooks,30,PHO,SF,12,12,369,0,1,13,84,2,-0.3,-8.4,8,8,17,6,17,7,50,3,6
159,Aaron Gordon,30,DEN,PF,13,13,368,0,0,0,98,2,20.6,18.7,11,3,12,2,31,0,41,7,5
160,Jaylon Tyson,23,CLE,SG,14,10,367,0,24,64,12,0,2.9,-2.3,10,1,21,2,7,1,62,4,4
161,Ace Bailey,19,UTA,SF,17,8,366,0,7,87,6,0,-13.8,-11.2,9,5,30,2,8,0,74,1,3
162,Domantas Sabonis,29,SAC,C,11,11,365,0,0,0,3,98,-20.4,-15.5,7,10,19,10,20,0,88,2,14
163,Sam Hauser,28,BOS,PF,17,2,364,0,0,15,81,4,0.6,-7.6,5,4,9,2,2,3,58,1,1
164,Tyrese Martin,26,BRK,SG,17,2,364,6,71,23,0,0,-5.6,10.0,9,9,9,0,11,1,114,4,1
165,D'Angelo Russell,29,DAL,PG,17,3,364,95,5,0,0,0,-4.7,2.6,27,11,15,2,20,3,194,0,5
166,Tre Johnson,19,WAS,SG,15,4,364,18,62,20,0,0,-14.5,-1.8,10,9,17,1,8,1,50,3,1
167,Jarrett Allen,27,CLE,C,14,14,364,0,0,0,0,100,11.3,11.8,7,10,13,4,21,4,61,4,15
168,Bam Adebayo,28,MIA,C,12,12,363,0,0,0,23,77,11.7,10.3,7,10,6,2,29,2,77,3,6
169,Cam Spencer,25,MEM,SG,18,1,362,65,35,0,0,0,-4.8,0.0,12,3,13,0,14,2,142,1,4
170,Reed Sheppard,21,HOU,PG,15,1,362,82,15,3,0,0,8.8,-4.3,12,5,15,1,8,0,120,4,6
171,Lonzo Ball,28,CLE,PG,15,3,360,52,47,1,0,0,0.6,-6.2,21,6,18,2,2,0,188,0,3
172,Malik Monk,27,SAC,SG,15,0,360,23,62,14,0,0,1.2,21.6,10,2,17,0,11,5,71,1,8
173,Jonathan Kuminga,23,GSW,PF,13,12,360,0,0,1,63,36,-4.4,-8.4,16,13,11,1,25,1,90,4,9
174,Egor Dёmin,19,BRK,PG,16,9,355,96,4,0,0,0,-13.4,-3.9,13,6,19,1,1,2,150,0,4
175,Vit Krejci,25,ATL,PG,15,1,351,59,41,0,0,0,0.8,-1.8,6,2,15,2,5,2,70,0,4
176,Simone Fontecchio,30,MIA,SF,18,0,350,0,0,27,72,2,3.3,-3.9,9,4,22,3,13,0,67,3,7
177,Mike Conley,38,MIN,PG,17,5,348,100,0,0,0,0,2.9,-5.8,9,2,20,2,4,3,142,0,0
178,Luke Kennard,29,ATL,SG,16,0,347,4,53,43,0,0,2.0,0.2,12,4,9,2,5,1,94,2,6
179,Luguentz Dort,26,OKC,SF,12,12,347,0,1,54,46,0,17.3,1.2,6,0,14,2,7,10,32,1,3
180,Jose Alvarado,27,NOP,PG,17,0,345,100,0,0,0,0,-4.5,11.9,14,6,12,0,6,7,115,1,7
181,Ja Morant,26,MEM,PG,12,12,345,100,0,0,0,0,-6.6,-3.0,33,10,13,0,31,4,219,4,12
182,Patrick Williams,24,CHI,PF,16,1,343,0,0,27,69,4,-3.6,-1.2,7,4,22,2,10,0,61,3,5
183,Jamal Shead,23,TOR,PG,18,0,338,100,0,0,0,0,12.4,9.7,16,2,18,1,12,13,237,2,7
184,Corey Kispert,26,WAS,SF,17,2,338,0,28,58,14,0,-6.0,13.0,7,1,12,1,15,1,72,7,4
185,Buddy Hield,33,GSW,SG,19,0,337,0,39,50,11,0,-10.0,-17.1,14,6,9,1,5,0,79,1,5
186,Aaron Nesmith,26,IND,SF,11,11,335,1,62,37,0,0,-5.1,10.5,2,3,14,2,16,11,41,4,10
187,Jakob Poeltl,30,TOR,C,13,13,332,0,0,0,0,100,3.2,-5.5,8,4,27,4,14,0,49,2,4
188,Khris Middleton,34,WAS,SF,13,13,330,0,0,4,90,6,-8.2,8.9,13,4,19,4,7,4,104,0,6
189,Isaiah Joe,26,OKC,SG,13,0,328,36,64,0,0,0,18.7,3.4,7,5,11,0,13,13,52,2,4
190,Cole Anthony,25,MIL,PG,17,0,327,99,1,0,0,0,-6.5,-6.6,25,13,24,3,6,6,202,3,7
191,Isaiah Jackson,24,IND,C,17,13,326,0,0,1,12,88,-10.9,0.9,1,6,31,7,17,0,36,5,4
192,Jalen Suggs,24,ORL,PG,14,14,326,91,9,0,0,0,17.7,18.9,25,9,25,4,14,11,164,0,4
193,Nicolas Batum,37,LAC,PF,18,2,325,0,1,40,60,0,-11.0,-7.0,7,0,12,2,1,0,29,0,1
194,Tre Mann,24,CHO,PG,15,1,325,82,18,0,0,0,-14.5,-16.4,12,7,16,5,3,2,109,0,5
195,Christian Braun,24,DEN,SG,11,11,325,1,77,22,0,0,17.5,12.0,8,4,14,1,12,1,80,4,6
196,Derrick Jones Jr.,28,LAC,SF,13,13,324,0,10,82,9,0,-9.4,-4.6,5,1,14,4,17,5,34,7,6
197,Ziaire Williams,24,BRK,SF,14,0,323,0,17,77,6,0,-14.0,-4.7,7,4,16,1,13,0,20,4,4
198,Kyle Filipowski,22,UTA,C,16,5,320,0,0,0,49,51,-6.0,2.7,12,4,21,4,16,2,86,2,10
199,Josh Okogie,27,HOU,SG,15,11,320,66,33,2,0,0,15.9,8.4,4,1,14,0,11,9,40,1,7
200,Isaiah Stewart,24,DET,C,14,5,320,0,0,0,37,63,2.1,-7.6,4,5,17,7,9,0,45,4,6
201,Mouhamed Gueye,23,ATL,PF,19,2,318,0,0,0,67,33,7.0,7.7,10,1,14,0,7,0,55,4,3
202,Miles McBride,25,NYK,SG,13,4,318,52,48,0,0,0,5.5,-0.2,4,4,10,0,5,1,79,2,3
203,Sandro Mamukelashvili,26,TOR,C,17,1,316,0,0,0,0,100,16.8,16.4,5,3,17,2,18,0,84,3,5
204,Kristaps Porziņģis,30,ATL,C,12,12,316,0,0,0,0,100,1.0,-1.3,4,3,21,3,27,0,90,5,3
205,Jaylin Williams,23,OKC,PF,17,1,314,0,0,9,51,40,14.3,-3.6,11,0,15,5,4,6,104,1,1
206,Landry Shamet,28,NYK,SG,15,6,314,10,80,9,0,0,1.8,-6.5,6,1,9,0,13,6,47,2,5
207,Daniel Gafford,27,DAL,C,13,12,312,0,0,0,0,100,-5.0,2.0,8,4,30,3,19,1,44,9,11
208,Sam Merrill,29,CLE,SG,12,8,311,0,69,28,3,0,5.3,1.6,5,1,16,2,3,8,63,1,0
209,Josh Minott,23,BOS,PF,16,9,309,0,0,0,77,23,6.0,1.9,6,3,13,1,9,2,53,1,6
210,Jordan Clarkson,33,NYK,SG,16,0,307,0,70,30,0,0,0.7,-8.2,6,7,19,3,13,3,71,2,4
211,Steven Adams,32,HOU,C,14,4,307,0,0,0,0,100,14.7,6.4,5,3,9,5,11,0,46,1,2
212,LaMelo Ball,24,CHO,PG,10,10,307,77,23,0,0,0,3.2,12.6,18,8,15,4,18,5,228,4,7
213,Dru Smith,28,MIA,SG,18,0,306,100,1,0,0,0,10.3,7.2,7,10,15,0,10,7,131,2,12
214,Goga Bitadze,26,ORL,C,18,0,304,0,0,0,0,100,11.4,8.5,5,2,20,2,11,1,61,3,2
215,Andrew Nembhard,26,IND,PG,10,10,303,87,13,0,0,0,-15.7,-6.8,9,9,10,3,21,1,152,3,6
216,Will Richard,23,GSW,SG,17,7,302,36,46,17,1,0,-5.5,-9.4,6,3,23,0,11,4,51,1,3
217,Gradey Dick,22,TOR,SG,18,0,299,0,56,39,5,0,16.6,15.4,5,1,9,0,12,2,32,1,6
