Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
180.0,Kevin Porter Jr.,24.0,2TM,SG,75.0,4.0,1482.0,0.449,0.501,0.311,0.492,0.769,0.531,0.259,0.271,96.0,92.0,86.0,91.0,99.0,92.0,107.0,64.0,-67.2,-66.1
180.0,Kevin Porter Jr.,24.0,LAC,SG,45.0,2.0,884.0,0.423,0.485,0.245,0.455,0.645,0.476,0.187,0.26,90.0,89.0,68.0,84.0,83.0,83.0,77.0,62.0,-72.1,-88.6
180.0,Kevin Porter Jr.,24.0,MIL,SG,30.0,2.0,598.0,0.494,0.529,0.408,0.553,0.871,0.616,0.38,0.29,106.0,97.0,113.0,102.0,112.0,107.0,156.0,69.0,4.9,22.5
181.0,D'Angelo Russell,28.0,2TM,PG,58.0,36.0,1480.0,0.39,0.489,0.314,0.479,0.834,0.522,0.227,0.564,84.0,90.0,87.0,88.0,107.0,91.0,94.0,134.0,-82.0,-76.8
181.0,D'Angelo Russell,28.0,LAL,PG,29.0,10.0,763.0,0.415,0.51,0.333,0.505,0.849,0.537,0.17,0.54,89.0,94.0,93.0,93.0,109.0,93.0,70.0,128.0,-23.8,-26.3
181.0,D'Angelo Russell,28.0,BRK,PG,29.0,26.0,717.0,0.367,0.467,0.297,0.454,0.826,0.508,0.281,0.587,79.0,86.0,82.0,84.0,106.0,88.0,116.0,139.0,-58.2,-50.5
182.0,Lauri Markkanen,27.0,UTA,PF,47.0,47.0,1476.0,0.423,0.525,0.346,0.521,0.876,0.571,0.264,0.57,91.0,96.0,96.0,96.0,112.0,99.0,109.0,135.0,-30.3,-8.5
183.0,Luke Kennard,28.0,MEM,SG,65.0,11.0,1472.0,0.478,0.547,0.433,0.609,0.895,0.631,0.132,0.606,102.0,100.0,120.0,112.0,115.0,110.0,54.0,144.0,56.9,50.4
184.0,Jamal Shead,22.0,TOR,PG,75.0,11.0,1467.0,0.405,0.47,0.323,0.476,0.768,0.499,0.137,0.442,87.0,86.0,90.0,88.0,98.0,87.0,56.0,105.0,-67.4,-82.8
185.0,Aaron Gordon,29.0,DEN,PF,51.0,42.0,1447.0,0.531,0.582,0.436,0.607,0.81,0.65,0.36,0.346,114.0,107.0,121.0,112.0,104.0,113.0,148.0,82.0,63.2,84.5
186.0,Isaiah Stewart,23.0,DET,C,72.0,4.0,1434.0,0.559,0.607,0.321,0.586,0.759,0.616,0.276,0.168,120.0,111.0,89.0,108.0,97.0,107.0,114.0,40.0,26.9,27.9
187.0,Brice Sensabaugh,21.0,UTA,SF,71.0,15.0,1432.0,0.459,0.52,0.422,0.59,0.89,0.612,0.122,0.621,98.0,95.0,117.0,109.0,114.0,106.0,50.0,147.0,56.4,44.7
188.0,Goga Bitadze,25.0,ORL,C,70.0,42.0,1430.0,0.611,0.656,0.107,0.615,0.639,0.631,0.392,0.083,131.0,120.0,30.0,113.0,82.0,110.0,162.0,20.0,48.8,43.9
189.0,Kel'el Ware,20.0,MIA,C,64.0,36.0,1422.0,0.554,0.629,0.315,0.592,0.687,0.603,0.144,0.239,119.0,115.0,88.0,109.0,88.0,105.0,59.0,57.0,45.0,26.3
190.0,Tari Eason,23.0,HOU,PF,57.0,16.0,1420.0,0.487,0.557,0.342,0.543,0.76,0.567,0.186,0.329,104.0,102.0,95.0,100.0,97.0,98.0,77.0,78.0,-0.1,-10.9
191.0,Zach Edey,22.0,MEM,C,66.0,55.0,1416.0,0.58,0.612,0.346,0.6,0.709,0.624,0.293,0.12,124.0,112.0,96.0,111.0,91.0,108.0,121.0,29.0,49.7,46.6
